Home,Away,Score,Match Type
Iceland,Finland,0 - 1,Group
Switzerland,Norway,1 - 2,Group
Belgium,Italy,0 - 1,Group
Spain,Portugal,5 - 0,Group
Denmark,Sweden,0 - 1,Group
Germany,Poland ,2 - 0,Group
Wales,Netherlands,3 - 0,Group
France,England,2 - 1,Group
Norway,Finland,2 - 1,Group
Switzerland,Iceland,2 - 0,Group
Spain,Belgium,6 - 2,Group
Portugal,Italy,1 - 1,Group
Germany,Denmark,2 - 1,Group
Poland,Sweden,0 - 3,Group
England,Netherlands,4 - 0,Group
France,Wales,4 - 1,Group
Finland,Switzerland,1 - 1,Group
Norway,Iceland,4 - 3,Group
Italy,Spain,1 - 3,Group
Portugal,Belgium,1 - 2,Group
Poland,Denmark,3 - 2,Group
Sweden,Germany,4 - 1,Group
England,Wales,6 - 1,Group
Netherlands,France,2 - 5,Group
Norway,Italy,1 - 2,Quarter
Sweden,England,2 - 2 (2 - 3),Quarter
Spain,Switzerland,2 - 0,Quarter
France,Germany,1 - 1 (5 - 6),Quarter
England,Italy,2 - 1,Semi
Germany,Spain,0 - 1,Semi
England,Spain,TBD,Final