Team,Goals per Match,Avg Possession,Goals Conceded per Match,Expected Goals,Shots on Target per Match,Big Chances,Big Chances Missed,Accurate Passes per Match,Corners,Touches in Opposition box,Expected Goals Conceded,Interceptions per Match,Successful Tackles per Match,Clearances per Match,Saves per Match,Fouls per Match,FIFA Ranking,Total Goals Scored,Total Goals Conceded,Goal Difference
Spain,3.4,0.728,0.6,15.3,8.2,20,11,621,42,254,3.6,8.4,10,11.6,1.4,11.6,2,17,3,14
Germany,1.2,0.505,1.4,8.6,4.2,14,10,329,27,131,8.8,10.6,14.6,24.6,4.6,13,3,6,7,-1
England,3.0,0.608,1.2,14.6,6,27,16,440.6,32,212,7.1,7,11.4,24.4,2.6,12.8,5,15,6,9
Sweden,2.5,0.501,0.8,11.5,6,18,10,266,27,155,4.2,7.5,10.3,27,2.5,12.5,6,10,3,7
France,3.0,0.599,1.3,10.2,8.3,14,6,399,16,146,4.3,7.8,11.3,21.5,1.5,13,10,12,5,7
Netherlands,1.7,0.557,3.0,3.1,4,8,6,337,13,73,6.1,8.3,10.7,20.3,2.3,11,11,5,9,-4
Denmark,1.0,0.415,2.0,3.3,5.3,3,2,233,12,50,7.3,5,12,36.3,3,9,12,3,6,-3
Italy,1.2,0.418,1.4,7.9,5.2,9,6,263.6,25,117,7.8,9.2,9.2,33.6,2.4,6.8,13,6,7,-1
Iceland,1.0,0.416,2.3,4.3,3.7,8,5,210.3,7,69,3.1,10,12.3,27,2.7,11.7,14,3,7,-4
Norway,2.3,0.492,1.8,6.6,3.5,11,8,309,27,96,6.5,6.3,10,22.5,4.3,8,16,9,7,2
Belgium,1.3,0.388,2.7,3.5,3,7,5,215.7,8,38,6.7,8.3,9,32.3,5,11.7,20,4,8,-4
Portugal,0.7,0.474,2.7,2.9,3,7,6,271.3,10,39,7.5,11.3,14.3,24.3,3.7,9.3,22,2,8,-6
Switzerland,1.0,0.475,1.3,3.3,3.8,7,5,280,17,89,7.9,11.3,11.5,25,2.5,10.5,23,4,5,-1
Finland,1.0,0.552,1.0,3.3,4.3,3,1,372,16,71,3.5,5.7,11,30.7,2.7,7,26,3,3,0
Poland,1.0,0.404,2.3,3.4,3.7,8,5,227.3,7,48,9.1,11.7,12.3,31,4.7,7.7,27,3,7,-4
Wales,0.7,0.27,4.3,1.9,2,2,0,145.3,9,32,9.7,7,12,35.7,4,6.3,30,2,10,-8